2020-11-08 22:05:26.966 [http-nio-80-exec-7] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()。参数为：[]
2020-11-08 22:05:26.967 [http-nio-80-exec-9] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:05:26.967 [http-nio-80-exec-9] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:05:26.979 [http-nio-80-exec-7] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsCategoryModel@216df106, com.sst.service.model.GoodsCategoryModel@58fcbd27, com.sst.service.model.GoodsCategoryModel@34895e37]
2020-11-08 22:05:26.980 [http-nio-80-exec-7] INFO  com.sst.log.Log - List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()执行完成。 后置
2020-11-08 22:05:26.981 [http-nio-80-exec-9] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@17b96a4e
2020-11-08 22:05:26.981 [http-nio-80-exec-9] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:15:40.644 [http-nio-80-exec-8] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:15:40.644 [http-nio-80-exec-10] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@74e0f48f]
2020-11-08 22:15:40.645 [http-nio-80-exec-10] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
